Timestamp_Local,IP,Index,Parameter_Name,Value,Unit,Demand Current,Demand Power,Demand Apparent Power,Projected #1 Demand Current,Projected #1 Demand Power,Projected #1 Demand Reactive Power,Projected #1 Demand Apparent Power,Projected #2 Demand Current,Projected #2 Demand Power,Projected #2 Demand Reactive Power,Projected #2 Demand Apparent Power,Projected #3 Demand Current,Projected #3 Demand Power,Projected #3 Demand Reactive Power,Projected #3 Demand Apparent Power,Elapsed Time
(units),,,,,,A,W,VA,A,W,VAR,VA,A,W,VAR,VA,A,W,VAR,VA,s
2026-05-11T18:31:46Z,10.16.130.50,14,Projected #3 Demand Current,363171.59375,A,,,,,,,,,,,,,,,,
2026-05-11T18:31:46Z,10.16.130.50,15,Projected #3 Demand Power,55.05246,W,,,,,,,,,,,,,,,,
2026-05-11T18:31:46Z,10.16.130.50,16,Projected #3 Demand Reactive Power,376377.375,VAR,,,,,,,,,,,,,,,,
2026-05-11T18:31:46Z,10.16.130.50,17,Projected #3 Demand Apparent Power,160079.625,VA,,,,,,,,,,,,,,,,
2026-05-11T18:31:46Z,10.16.130.50,18,Elapsed Time,410657.9375,s,,,,,,,,,,,,,,,,
2026-05-11T18:32:21Z,10.16.130.50,1,Date,12/5/2012,,,,,,,,,,,,,,,,,
2026-05-11T18:32:21Z,10.16.130.50,2,Time,21:09:51,,,,,,,,,,,,,,,,,
2026-05-11T18:32:21Z,10.16.130.50,3,Demand Current,49.191601,A,,,,,,,,,,,,,,,,
2026-05-11T18:32:21Z,10.16.130.50,4,Demand Power,331229.53125,W,,,,,,,,,,,,,,,,
2026-05-11T18:32:21Z,10.16.130.50,5,Demand Apparent Power,157337.421875,VA,,,,,,,,,,,,,,,,
2026-05-11T18:32:21Z,10.16.130.50,6,Projected #1 Demand Current,367524.78125,A,,,,,,,,,,,,,,,,
2026-05-11T18:32:21Z,10.16.130.50,7,Projected #1 Demand Power,48.605427,W,,,,,,,,,,,,,,,,
2026-05-11T18:32:21Z,10.16.130.50,8,Projected #1 Demand Reactive Power,329111.25,VAR,,,,,,,,,,,,,,,,
